frame	xtl	ytl	xbr	ybr	slug
125	275	256	322	320	test1_hunts_sauce
126	271	255	318	319	test1_hunts_sauce
127	317	241	364	305	test1_hunts_sauce
128	272	256	319	320	test1_hunts_sauce
167	265	250	330	327	test1_hunts_sauce
118	290	248	361	330	test1_hunts_sauce
59	275	239	330	312	test1_hunts_sauce
58	256	233	318	316	test1_hunts_sauce
55	199	245	275	338	test1_hunts_sauce
54	207	261	284	366	test1_hunts_sauce
57	259	241	322	332	test1_hunts_sauce
56	273	231	335	312	test1_hunts_sauce
51	207	249	286	344	test1_hunts_sauce
50	201	261	281	362	test1_hunts_sauce
53	266	225	344	312	test1_hunts_sauce
52	207	249	286	344	test1_hunts_sauce
164	269	254	321	322	test1_hunts_sauce
115	304	200	388	283	test1_hunts_sauce
114	263	238	324	322	test1_hunts_sauce
88	177	231	268	343	test1_hunts_sauce
89	254	232	330	304	test1_hunts_sauce
111	265	247	319	318	test1_hunts_sauce
110	263	247	320	324	test1_hunts_sauce
113	257	243	319	330	test1_hunts_sauce
112	353	250	413	320	test1_hunts_sauce
82	173	218	277	345	test1_hunts_sauce
83	135	231	266	400	test1_hunts_sauce
80	179	220	276	341	test1_hunts_sauce
81	167	236	272	388	test1_hunts_sauce
119	261	251	336	332	test1_hunts_sauce
87	186	252	278	377	test1_hunts_sauce
84	147	211	272	347	test1_hunts_sauce
85	147	211	272	347	test1_hunts_sauce
3	247	248	311	322	test1_hunts_sauce
7	315	245	361	297	test1_hunts_sauce
108	268	247	323	321	test1_hunts_sauce
109	311	229	365	296	test1_hunts_sauce
102	240	229	321	322	test1_hunts_sauce
103	364	265	426	349	test1_hunts_sauce
100	327	221	409	322	test1_hunts_sauce
101	255	237	337	338	test1_hunts_sauce
106	276	249	333	325	test1_hunts_sauce
107	268	247	324	327	test1_hunts_sauce
104	261	245	328	328	test1_hunts_sauce
105	217	256	282	338	test1_hunts_sauce
39	189	240	273	337	test1_hunts_sauce
38	200	261	285	367	test1_hunts_sauce
33	262	245	319	317	test1_hunts_sauce
32	256	249	314	329	test1_hunts_sauce
31	334	255	390	318	test1_hunts_sauce
30	264	247	311	315	test1_hunts_sauce
37	307	205	393	296	test1_hunts_sauce
36	256	233	329	316	test1_hunts_sauce
35	245	241	317	333	test1_hunts_sauce
34	303	210	377	286	test1_hunts_sauce
60	259	241	317	330	test1_hunts_sauce
61	259	241	316	318	test1_hunts_sauce
62	197	255	287	372	test1_hunts_sauce
63	190	231	278	335	test1_hunts_sauce
64	313	279	400	342	test1_hunts_sauce
65	246	226	320	332	test1_hunts_sauce
66	212	240	285	331	test1_hunts_sauce
67	315	265	387	333	test1_hunts_sauce
68	248	230	319	336	test1_hunts_sauce
69	249	220	319	312	test1_hunts_sauce
2	264	252	321	324	test1_hunts_sauce
162	274	251	322	320	test1_hunts_sauce
6	264	255	311	321	test1_hunts_sauce
99	187	243	284	353	test1_hunts_sauce
98	173	251	271	374	test1_hunts_sauce
168	272	242	337	319	test1_hunts_sauce
169	272	242	337	319	test1_hunts_sauce
91	205	246	281	342	test1_hunts_sauce
90	254	226	331	335	test1_hunts_sauce
93	254	228	325	338	test1_hunts_sauce
92	350	258	422	337	test1_hunts_sauce
95	354	271	423	333	test1_hunts_sauce
94	253	225	323	319	test1_hunts_sauce
97	204	249	282	345	test1_hunts_sauce
96	246	223	325	333	test1_hunts_sauce
11	271	261	310	323	test1_hunts_sauce
10	317	243	355	295	test1_hunts_sauce
13	338	260	389	314	test1_hunts_sauce
12	271	261	314	316	test1_hunts_sauce
15	268	254	316	320	test1_hunts_sauce
14	260	254	311	321	test1_hunts_sauce
17	253	247	317	328	test1_hunts_sauce
16	315	222	375	287	test1_hunts_sauce
19	283	234	361	318	test1_hunts_sauce
18	260	247	327	320	test1_hunts_sauce
117	257	224	339	320	test1_hunts_sauce
116	244	232	327	338	test1_hunts_sauce
151	315	208	373	297	test1_hunts_sauce
150	269	249	328	319	test1_hunts_sauce
153	325	258	361	345	test1_hunts_sauce
152	317	262	360	350	test1_hunts_sauce
155	270	251	332	324	test1_hunts_sauce
154	289	251	347	325	test1_hunts_sauce
157	325	240	373	306	test1_hunts_sauce
156	261	247	323	320	test1_hunts_sauce
159	273	253	323	321	test1_hunts_sauce
158	276	254	327	328	test1_hunts_sauce
48	257	233	317	316	test1_hunts_sauce
49	251	221	330	298	test1_hunts_sauce
46	267	230	328	302	test1_hunts_sauce
47	247	237	316	333	test1_hunts_sauce
44	255	237	318	329	test1_hunts_sauce
45	255	237	317	316	test1_hunts_sauce
42	251	232	317	316	test1_hunts_sauce
43	331	265	389	333	test1_hunts_sauce
40	270	229	338	305	test1_hunts_sauce
41	258	234	325	331	test1_hunts_sauce
1	333	238	393	304	test1_hunts_sauce
5	270	259	317	324	test1_hunts_sauce
9	272	259	311	320	test1_hunts_sauce
146	268	255	317	326	test1_hunts_sauce
147	273	251	322	322	test1_hunts_sauce
145	313	236	363	301	test1_hunts_sauce
142	319	241	369	306	test1_hunts_sauce
143	273	255	323	320	test1_hunts_sauce
140	274	254	325	327	test1_hunts_sauce
141	270	249	321	322	test1_hunts_sauce
148	363	248	420	318	test1_hunts_sauce
149	263	248	323	324	test1_hunts_sauce
77	174	240	276	390	test1_hunts_sauce
76	141	192	263	337	test1_hunts_sauce
75	142	236	273	399	test1_hunts_sauce
74	198	238	290	343	test1_hunts_sauce
73	191	249	284	370	test1_hunts_sauce
72	244	220	316	310	test1_hunts_sauce
71	240	228	316	333	test1_hunts_sauce
70	309	273	383	327	test1_hunts_sauce
79	180	240	278	384	test1_hunts_sauce
78	172	210	273	338	test1_hunts_sauce
42	279	117	385	371	test1_aunt_jemima_original_syrup
43	243	139	349	393	test1_aunt_jemima_original_syrup
24	313	110	419	364	test1_aunt_jemima_original_syrup
25	249	130	355	384	test1_aunt_jemima_original_syrup
26	249	130	355	384	test1_aunt_jemima_original_syrup
27	203	125	309	379	test1_aunt_jemima_original_syrup
20	203	121	309	375	test1_aunt_jemima_original_syrup
21	228	125	334	379	test1_aunt_jemima_original_syrup
22	228	125	334	379	test1_aunt_jemima_original_syrup
49	300	106	406	360	test1_aunt_jemima_original_syrup
47	223	139	329	393	test1_aunt_jemima_original_syrup
45	223	139	329	393	test1_aunt_jemima_original_syrup
28	190	125	296	379	test1_aunt_jemima_original_syrup
29	239	131	345	385	test1_aunt_jemima_original_syrup
40	226	153	332	407	test1_aunt_jemima_original_syrup
41	241	157	347	411	test1_aunt_jemima_original_syrup
1	258	121	364	375	test1_aunt_jemima_original_syrup
0	253	190	359	444	test1_aunt_jemima_original_syrup
3	247	128	353	382	test1_aunt_jemima_original_syrup
2	198	156	304	410	test1_aunt_jemima_original_syrup
5	240	130	346	384	test1_aunt_jemima_original_syrup
4	202	149	308	403	test1_aunt_jemima_original_syrup
7	314	131	420	385	test1_aunt_jemima_original_syrup
6	188	144	294	398	test1_aunt_jemima_original_syrup
9	197	80	303	334	test1_aunt_jemima_original_syrup
8	197	80	303	334	test1_aunt_jemima_original_syrup
51	231	133	337	387	test1_aunt_jemima_original_syrup
39	210	154	316	408	test1_aunt_jemima_original_syrup
38	253	149	359	403	test1_aunt_jemima_original_syrup
11	236	120	342	374	test1_aunt_jemima_original_syrup
10	204	142	310	396	test1_aunt_jemima_original_syrup
13	238	123	344	377	test1_aunt_jemima_original_syrup
12	209	134	315	388	test1_aunt_jemima_original_syrup
59	231	133	337	387	test1_aunt_jemima_original_syrup
14	238	123	344	377	test1_aunt_jemima_original_syrup
19	203	121	309	375	test1_aunt_jemima_original_syrup
18	256	124	362	378	test1_aunt_jemima_original_syrup
31	247	124	353	378	test1_aunt_jemima_original_syrup
30	230	131	336	385	test1_aunt_jemima_original_syrup
37	199	155	305	409	test1_aunt_jemima_original_syrup
36	260	129	366	383	test1_aunt_jemima_original_syrup
35	299	127	405	381	test1_aunt_jemima_original_syrup
34	299	127	405	381	test1_aunt_jemima_original_syrup
33	223	130	329	384	test1_aunt_jemima_original_syrup
32	203	135	309	389	test1_aunt_jemima_original_syrup
50	226	144	332	398	test1_aunt_jemima_original_syrup
56	268	245	352	344	test1_nature_valley_sweet_and_salty_nut_almont
54	259	254	354	345	test1_nature_valley_sweet_and_salty_nut_almont
42	312	239	399	318	test1_nature_valley_sweet_and_salty_nut_almont
48	306	228	423	334	test1_nature_valley_sweet_and_salty_nut_almont
43	268	252	356	347	test1_nature_valley_sweet_and_salty_nut_almont
60	269	251	356	349	test1_nature_valley_sweet_and_salty_nut_almont
61	309	234	408	330	test1_nature_valley_sweet_and_salty_nut_almont
62	265	250	370	356	test1_nature_valley_sweet_and_salty_nut_almont
63	308	221	442	336	test1_nature_valley_sweet_and_salty_nut_almont
64	240	231	374	346	test1_nature_valley_sweet_and_salty_nut_almont
49	326	222	442	318	test1_nature_valley_sweet_and_salty_nut_almont
66	323	238	402	317	test1_nature_valley_sweet_and_salty_nut_almont
67	271	255	350	345	test1_nature_valley_sweet_and_salty_nut_almont
68	270	255	349	345	test1_nature_valley_sweet_and_salty_nut_almont
69	316	241	393	320	test1_nature_valley_sweet_and_salty_nut_almont
52	320	238	416	318	test1_nature_valley_sweet_and_salty_nut_almont
53	264	254	359	345	test1_nature_valley_sweet_and_salty_nut_almont
24	289	203	439	349	test1_nature_valley_sweet_and_salty_nut_almont
25	243	120	314	372	test1_nature_valley_sweet_and_salty_nut_almont
26	277	141	531	361	test1_nature_valley_sweet_and_salty_nut_almont
27	298	202	448	333	test1_nature_valley_sweet_and_salty_nut_almont
20	262	237	376	360	test1_nature_valley_sweet_and_salty_nut_almont
21	299	218	436	340	test1_nature_valley_sweet_and_salty_nut_almont
22	289	203	360	344	test1_nature_valley_sweet_and_salty_nut_almont
23	289	203	431	335	test1_nature_valley_sweet_and_salty_nut_almont
46	261	249	361	357	test1_nature_valley_sweet_and_salty_nut_almont
47	264	246	363	353	test1_nature_valley_sweet_and_salty_nut_almont
44	268	252	356	343	test1_nature_valley_sweet_and_salty_nut_almont
45	308	239	400	325	test1_nature_valley_sweet_and_salty_nut_almont
28	298	202	432	342	test1_nature_valley_sweet_and_salty_nut_almont
29	290	200	446	350	test1_nature_valley_sweet_and_salty_nut_almont
40	266	250	360	342	test1_nature_valley_sweet_and_salty_nut_almont
41	266	252	360	342	test1_nature_valley_sweet_and_salty_nut_almont
1	327	222	456	320	test1_nature_valley_sweet_and_salty_nut_almont
0	250	301	356	426	test1_nature_valley_sweet_and_salty_nut_almont
3	319	241	417	314	test1_nature_valley_sweet_and_salty_nut_almont
2	236	242	372	360	test1_nature_valley_sweet_and_salty_nut_almont
5	268	251	351	341	test1_nature_valley_sweet_and_salty_nut_almont
4	316	237	396	315	test1_nature_valley_sweet_and_salty_nut_almont
7	311	236	394	318	test1_nature_valley_sweet_and_salty_nut_almont
8	265	250	355	341	test1_nature_valley_sweet_and_salty_nut_almont
51	248	250	363	349	test1_nature_valley_sweet_and_salty_nut_almont
39	316	238	407	320	test1_nature_valley_sweet_and_salty_nut_almont
65	256	241	389	372	test1_nature_valley_sweet_and_salty_nut_almont
76	311	227	406	328	test1_nature_valley_sweet_and_salty_nut_almont
75	313	230	408	331	test1_nature_valley_sweet_and_salty_nut_almont
38	287	199	313	333	test1_nature_valley_sweet_and_salty_nut_almont
73	270	250	351	353	test1_nature_valley_sweet_and_salty_nut_almont
72	314	238	389	323	test1_nature_valley_sweet_and_salty_nut_almont
70	271	255	348	346	test1_nature_valley_sweet_and_salty_nut_almont
59	266	252	354	350	test1_nature_valley_sweet_and_salty_nut_almont
58	311	237	396	319	test1_nature_valley_sweet_and_salty_nut_almont
11	266	249	373	350	test1_nature_valley_sweet_and_salty_nut_almont
10	306	236	404	326	test1_nature_valley_sweet_and_salty_nut_almont
13	247	236	377	310	test1_nature_valley_sweet_and_salty_nut_almont
12	308	235	439	335	test1_nature_valley_sweet_and_salty_nut_almont
15	314	223	423	324	test1_nature_valley_sweet_and_salty_nut_almont
14	257	241	397	364	test1_nature_valley_sweet_and_salty_nut_almont
17	256	241	361	302	test1_nature_valley_sweet_and_salty_nut_almont
16	307	223	408	323	test1_nature_valley_sweet_and_salty_nut_almont
19	301	223	414	332	test1_nature_valley_sweet_and_salty_nut_almont
18	256	241	366	351	test1_nature_valley_sweet_and_salty_nut_almont
31	312	220	423	324	test1_nature_valley_sweet_and_salty_nut_almont
30	266	163	306	344	test1_nature_valley_sweet_and_salty_nut_almont
37	297	210	440	345	test1_nature_valley_sweet_and_salty_nut_almont
36	259	238	378	366	test1_nature_valley_sweet_and_salty_nut_almont
35	304	222	414	330	test1_nature_valley_sweet_and_salty_nut_almont
34	261	237	368	356	test1_nature_valley_sweet_and_salty_nut_almont
33	261	237	362	321	test1_nature_valley_sweet_and_salty_nut_almont
55	317	231	398	317	test1_nature_valley_sweet_and_salty_nut_almont
74	270	250	354	352	test1_nature_valley_sweet_and_salty_nut_almont
32	308	220	410	322	test1_nature_valley_sweet_and_salty_nut_almont
50	259	248	375	344	test1_nature_valley_sweet_and_salty_nut_almont
24	318	201	395	317	test1_softsoap_gold
25	326	188	426	329	test1_softsoap_gold
26	266	197	344	332	test1_softsoap_gold
27	332	153	444	315	test1_softsoap_gold
20	224	259	285	303	test1_softsoap_gold
21	278	224	340	336	test1_softsoap_gold
22	320	206	385	312	test1_softsoap_gold
23	277	223	346	340	test1_softsoap_gold
28	325	169	415	314	test1_softsoap_gold
29	320	176	403	320	test1_softsoap_gold
0	272	296	328	424	test1_softsoap_gold
4	328	222	383	305	test1_softsoap_gold
8	278	239	329	331	test1_softsoap_gold
59	278	224	342	340	test1_softsoap_gold
58	270	239	330	301	test1_softsoap_gold
55	272	240	333	305	test1_softsoap_gold
54	324	209	386	308	test1_softsoap_gold
57	321	208	379	313	test1_softsoap_gold
56	277	230	336	339	test1_softsoap_gold
51	315	155	444	342	test1_softsoap_gold
50	315	173	412	330	test1_softsoap_gold
53	331	204	398	310	test1_softsoap_gold
52	339	192	419	311	test1_softsoap_gold
88	278	241	331	334	test1_softsoap_gold
89	281	240	334	333	test1_softsoap_gold
82	281	243	331	327	test1_softsoap_gold
83	279	245	329	329	test1_softsoap_gold
80	275	244	322	334	test1_softsoap_gold
81	332	228	378	304	test1_softsoap_gold
86	280	240	329	334	test1_softsoap_gold
87	325	219	374	313	test1_softsoap_gold
84	324	225	374	309	test1_softsoap_gold
85	279	242	328	336	test1_softsoap_gold
3	333	215	398	308	test1_softsoap_gold
7	325	224	377	307	test1_softsoap_gold
108	273	230	312	339	test1_softsoap_gold
102	280	247	318	332	test1_softsoap_gold
103	284	246	322	331	test1_softsoap_gold
101	323	231	362	308	test1_softsoap_gold
106	334	218	402	319	test1_softsoap_gold
107	262	222	302	318	test1_softsoap_gold
104	325	227	375	311	test1_softsoap_gold
105	284	241	333	337	test1_softsoap_gold
39	306	105	485	363	test1_softsoap_gold
38	310	130	435	340	test1_softsoap_gold
33	329	166	432	317	test1_softsoap_gold
32	316	146	434	344	test1_softsoap_gold
31	316	168	417	331	test1_softsoap_gold
30	316	177	399	321	test1_softsoap_gold
37	310	138	416	331	test1_softsoap_gold
36	316	138	423	328	test1_softsoap_gold
35	321	124	440	329	test1_softsoap_gold
34	327	98	480	329	test1_softsoap_gold
60	323	202	394	317	test1_softsoap_gold
61	325	188	424	326	test1_softsoap_gold
62	264	192	304	343	test1_softsoap_gold
63	341	213	400	305	test1_softsoap_gold
64	278	238	341	333	test1_softsoap_gold
65	336	223	388	305	test1_softsoap_gold
66	282	241	333	333	test1_softsoap_gold
67	278	241	329	333	test1_softsoap_gold
68	329	226	379	307	test1_softsoap_gold
69	283	242	332	330	test1_softsoap_gold
2	280	223	346	339	test1_softsoap_gold
6	277	239	330	329	test1_softsoap_gold
99	282	248	322	329	test1_softsoap_gold
98	328	232	370	306	test1_softsoap_gold
91	269	223	340	322	test1_softsoap_gold
90	333	214	395	314	test1_softsoap_gold
93	345	217	401	305	test1_softsoap_gold
92	278	232	348	340	test1_softsoap_gold
95	336	224	380	307	test1_softsoap_gold
94	279	239	334	337	test1_softsoap_gold
97	279	249	322	336	test1_softsoap_gold
96	281	247	324	334	test1_softsoap_gold
11	278	238	336	336	test1_softsoap_gold
10	324	222	378	313	test1_softsoap_gold
13	327	214	398	314	test1_softsoap_gold
12	280	237	338	335	test1_softsoap_gold
15	216	246	289	356	test1_softsoap_gold
14	204	242	273	314	test1_softsoap_gold
17	248	237	332	370	test1_softsoap_gold
16	339	190	420	312	test1_softsoap_gold
19	324	206	386	310	test1_softsoap_gold
18	330	199	398	311	test1_softsoap_gold
48	320	180	398	316	test1_softsoap_gold
49	315	180	395	323	test1_softsoap_gold
46	334	156	443	319	test1_softsoap_gold
47	324	173	410	318	test1_softsoap_gold
44	308	121	441	354	test1_softsoap_gold
45	302	89	491	378	test1_softsoap_gold
42	315	132	421	333	test1_softsoap_gold
43	308	131	420	340	test1_softsoap_gold
40	321	93	479	333	test1_softsoap_gold
41	315	120	439	334	test1_softsoap_gold
1	294	231	358	337	test1_softsoap_gold
5	281	239	335	333	test1_softsoap_gold
9	278	240	329	332	test1_softsoap_gold
77	280	230	344	306	test1_softsoap_gold
76	351	206	416	303	test1_softsoap_gold
75	328	204	384	316	test1_softsoap_gold
74	323	216	384	313	test1_softsoap_gold
73	281	244	332	332	test1_softsoap_gold
72	279	239	331	334	test1_softsoap_gold
71	324	224	372	309	test1_softsoap_gold
70	282	243	331	331	test1_softsoap_gold
79	336	221	391	305	test1_softsoap_gold
78	266	235	329	337	test1_softsoap_gold
